hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,rssi_variance
HDOK,PLOK,17472,11,11,-101,6,9,2,33,-99,-99,-99,-99,-99,-98,-98,-98,-98,-102,-102,-99,-108,-99,-99,-99,-99,-100,-99,-101,-106,-105,-103,-101,-99,-100,-101,-98,-99,-99,-101,-100,-99,352,1.1104
HDOK,PLOK,17472,12,12,-100,8,9,2,33,-98,-98,-98,-101,-99,-98,-98,-98,-98,-99,-99,-99,-98,-98,-98,-97,-97,-100,-99,-103,-101,-105,-101,-99,-98,-101,-99,-98,-100,-98,-97,-98,-100,352,0.9024
HDOK,PLOK,17472,13,13,-100,8,9,2,33,-99,-103,-103,-98,-98,-98,-98,-98,-97,-98,-105,-97,-99,-98,-101,-98,-98,-98,-98,-98,-103,-101,-105,-105,-97,-98,-105,-98,-98,-98,-103,-98,-103,352,4.0576
HDOK,PLOK,17472,14,14,-100,8,9,2,33,-97,-103,-103,-97,-97,-97,-98,-99,-98,-99,-105,-97,-100,-97,-100,-98,-98,-98,-97,-99,-105,-101,-105,-103,-97,-98,-103,-98,-98,-98,-100,-105,-97,352,3.9935999999999994
HDOK,PLOK,17472,15,15,-99,8,9,2,33,-97,-96,-97,-98,-97,-96,-98,-97,-96,-97,-100,-96,-97,-97,-98,-96,-96,-98,-97,-100,-103,-103,-101,-99,-96,-100,-99,-96,-98,-97,-99,-96,-97,352,1.3696000000000002
HDOK,PLOK,17472,16,16,-100,8,9,2,33,-98,-97,-98,-105,-99,-97,-103,-97,-97,-97,-99,-97,-97,-98,-97,-97,-97,-101,-99,-105,-100,-103,-99,-98,-98,-101,-98,-97,-101,-97,-98,-98,-99,352,1.6576000000000002
HDOK,PLOK,17472,17,17,-99,8,9,2,33,-97,-97,-98,-97,-100,-98,-97,-99,-100,-97,-98,-98,-97,-99,-97,-97,-97,-103,-100,-105,-99,-103,-99,-98,-103,-105,-97,-98,-103,-97,-97,-98,-97,352,2.8064
HDOK,PLOK,17472,18,18,-100,8,9,2,33,-97,-98,-105,-97,-97,-98,-98,-97,-97,-97,-103,-97,-97,-97,-103,-101,-103,-97,-97,-97,-100,-99,-103,-105,-97,-98,-105,-98,-98,-97,-103,-98,-98,352,4.5504
HDOK,PLOK,17472,19,19,-100,8,9,2,33,-97,-97,-98,-97,-100,-98,-97,-97,-100,-97,-98,-98,-97,-99,-97,-97,-98,-103,-37,-105,-99,-101,-98,-98,-105,-103,-97,-98,-103,-97,-97,-97,-98,352,2.1344
HDOK,PLOK,17472,20,20,-100,8,9,2,33,-97,-97,-98,-97,-97,-97,-97,-103,-97,-95,-101,-97,-100,-97,-99,-96,-97,-98,-97,-99,-105,-103,-103,-100,-97,-98,-100,-97,-98,-96,-98,-96,-101,352,1.7984
HDOK,PLOK,17472,21,21,-102,8,9,2,33,-100,-106,-105,-99,-100,-99,-99,-99,-100,-101,-107,-100,-101,-99,-104,-100,-101,-100,-101,-101,-106,-104,-107,-106,-100,-100,-106,-100,-100,-100,-106,-107,-100,352,5.590400000000001
HDOK,PLOK,17472,22,22,-104,8,9,2,33,-103,-102,-102,-107,-104,-102,-109,-107,-102,-102,-104,-102,-102,-103,-102,-101,-102,-105,-104,-107,-106,-109,-105,-104,-102,-106,-103,-102,-103,-102,-102,-101,-104,352,2.2176
HDOK,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
